# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 727K of event 'cycles'
# Event count (approx.): 421628435506
#
# Overhead  Command  Shared Object        Symbol                                        
# ........  .......  ...................  ..............................................
#
     0.06%  server   [kernel.kallsyms]    [k] inet_csk_destroy_sock                     
     0.06%  server   [kernel.kallsyms]    [k] __update_entity_load_avg_contrib          
     0.06%  server   [kernel.kallsyms]    [k] tcp_stream_memory_free                    
     0.06%  server   [kernel.kallsyms]    [k] __fput                                    
     0.06%  server   [kernel.kallsyms]    [k] ttwu_do_wakeup                            
     0.06%  server   [kernel.kallsyms]    [k] locks_remove_posix                        
     0.06%  server   libc-2.19.so         [.] 0x0000000000082df7                        
     0.06%  server   server               [.] 0x000000000000a526                        
     0.06%  server   libc-2.19.so         [.] 0x0000000000082750                        
     0.06%  server   [kernel.kallsyms]    [k] __skb_clone                               
     0.06%  server   [kernel.kallsyms]    [k] netif_rx_internal                         
     0.06%  server   [kernel.kallsyms]    [k] tcp_data_queue                            
     0.06%  server   [kernel.kallsyms]    [k] _raw_spin_lock_irq                        
     0.06%  server   libc-2.19.so         [.] 0x00000000000226e0                        
     0.06%  server   libc-2.19.so         [.] 0x00000000000fb5c1                        
     0.06%  server   libc-2.19.so         [.] 0x0000000000082df0                        
     0.06%  server   libstdc++.so.6.0.21  [.] 0x00000000000bfe10                        
     0.06%  server   [kernel.kallsyms]    [k] inode_init_always                         
     0.06%  server   [kernel.kallsyms]    [k] vmacache_find                             
     0.06%  server   [kernel.kallsyms]    [k] wakeup_preempt_entity.isra.53             
     0.06%  server   [kernel.kallsyms]    [k] sock_recvmsg                              
     0.06%  server   libstdc++.so.6.0.21  [.] 0x00000000000bff90                        
     0.06%  server   libc-2.19.so         [.] 0x0000000000088aef                        
     0.06%  server   [kernel.kallsyms]    [k] release_pages                             
     0.06%  server   [kernel.kallsyms]    [k] detach_if_pending                         
     0.06%  server   [kernel.kallsyms]    [k] alloc_skb_with_frags                      
     0.06%  server   libc-2.19.so         [.] 0x000000000007e8ef                        
     0.05%  server   [kernel.kallsyms]    [k] tcp_get_metrics                           
     0.05%  server   libc-2.19.so         [.] 0x00000000000804bd                        
     0.05%  server   [kernel.kallsyms]    [k] task_work_add                             
     0.05%  server   [kernel.kallsyms]    [k] tcp_set_state                             
     0.05%  server   [kernel.kallsyms]    [k] skb_network_protocol                      
     0.05%  server   server               [.] 0x000000000000c628                        
     0.05%  server   [kernel.kallsyms]    [k] __wake_up_sync_key                        
     0.05%  server   [kernel.kallsyms]    [k] __local_bh_enable                         
     0.05%  server   libc-2.19.so         [.] 0x000000000007e8da                        
     0.05%  server   [kernel.kallsyms]    [k] d_set_d_op                                
     0.05%  server   [kernel.kallsyms]    [k] inet_release                              
     0.05%  server   [kernel.kallsyms]    [k] move_addr_to_kernel.part.15               
     0.05%  server   [kernel.kallsyms]    [k] rb_next                                   
     0.05%  server   [kernel.kallsyms]    [k] skb_release_all                           
     0.05%  server   libc-2.19.so         [.] 0x000000000007feca                        
     0.05%  server   [kernel.kallsyms]    [k] tcp_rcv_space_adjust                      
     0.05%  server   [kernel.kallsyms]    [k] security_sock_rcv_skb                     
     0.05%  server   [kernel.kallsyms]    [k] security_sk_classify_flow                 
     0.05%  server   libc-2.19.so         [.] 0x000000000007ff7c                        
     0.05%  server   [kernel.kallsyms]    [k] __fdget                                   
     0.05%  server   [kernel.kallsyms]    [k] tcp_v4_send_check                         
     0.05%  server   [kernel.kallsyms]    [k] __close_fd                                
     0.05%  server   libpthread-2.19.so   [.] 0x000000000000b7c3                        
     0.05%  server   libc-2.19.so         [.] 0x0000000000080406                        
     0.05%  server   server               [.] 0x000000000000c360                        
     0.05%  server   [kernel.kallsyms]    [k] __do_page_fault                           
     0.05%  server   [kernel.kallsyms]    [k] sock_alloc                                
     0.05%  server   [kernel.kallsyms]    [k] xfrm_lookup                               
     0.05%  server   server               [.] 0x000000000000d4d0                        
     0.05%  server   [kernel.kallsyms]    [k] udp4_hwcsum                               
     0.05%  server   server               [.] 0x000000000000b21b                        
     0.05%  server   [kernel.kallsyms]    [k] __unqueue_futex                           
     0.05%  server   libc-2.19.so         [.] 0x000000000007e84f                        
     0.05%  server   server               [.] 0x00000000000086cc                        
     0.05%  server   server               [.] 0x00000000000066a2                        
     0.05%  server   [kernel.kallsyms]    [k] _atomic_dec_and_lock                      
     0.05%  server   libc-2.19.so         [.] 0x0000000000082dfa                        
     0.05%  server   [kernel.kallsyms]    [k] sk_stream_wait_close                      
     0.05%  server   [kernel.kallsyms]    [k] __sk_free                                 
     0.05%  server   libc-2.19.so         [.] 0x000000000007f0d9                        
     0.05%  server   [kernel.kallsyms]    [k] __internal_add_timer                      
     0.05%  server   libc-2.19.so         [.] 0x0000000000080194                        
     0.05%  server   [kernel.kallsyms]    [k] tcp_event_new_data_sent                   
     0.05%  server   [kernel.kallsyms]    [k] tcp_schedule_loss_probe                   
     0.05%  server   [kernel.kallsyms]    [k] tcp_queue_rcv                             
     0.05%  server   [kernel.kallsyms]    [k] kmalloc_slab                              
     0.05%  server   [kernel.kallsyms]    [k] __sk_dst_check                            
     0.05%  server   [kernel.kallsyms]    [k] sock_put                                  
     0.05%  server   [kernel.kallsyms]    [k] bictcp_cong_avoid                         
     0.05%  server   [kernel.kallsyms]    [k] find_vma                                  
     0.05%  server   [kernel.kallsyms]    [k] __mem_cgroup_count_vm_event               
     0.05%  server   [kernel.kallsyms]    [k] do_notify_resume                          
     0.05%  server   [kernel.kallsyms]    [k] do_softirq_own_stack                      
     0.05%  server   libc-2.19.so         [.] 0x0000000000108066                        
     0.04%  server   [kernel.kallsyms]    [k] __ip_local_out_sk                         
     0.04%  server   [kernel.kallsyms]    [k] lock_sock_nested                          
     0.04%  server   [kernel.kallsyms]    [k] tcp_send_ack                              
     0.04%  server   server               [.] 0x000000000000e6a5                        
     0.04%  server   [kernel.kallsyms]    [k] pagevec_lru_move_fn                       
     0.04%  server   server               [.] 0x0000000000008067                        
     0.04%  server   libc-2.19.so         [.] 0x00000000000802ed                        
     0.04%  server   server               [.] 0x000000000000d4d6                        
     0.04%  server   [kernel.kallsyms]    [k] sk_stream_kill_queues                     
     0.04%  server   [kernel.kallsyms]    [k] __kmalloc_reserve.isra.32                 
     0.04%  server   libpthread-2.19.so   [.] 0x000000000000ef2c                        
     0.04%  server   libc-2.19.so         [.] 0x000000000007e960                        
     0.04%  server   [kernel.kallsyms]    [k] tcp_v4_do_rcv                             
     0.04%  server   server               [.] 0x000000000000c3c1                        
     0.04%  server   [kernel.kallsyms]    [k] clear_buddies                             
     0.04%  server   libc-2.19.so         [.] 0x0000000000097fd0                        
     0.04%  server   server               [.] 0x000000000000a532                        
     0.04%  server   libc-2.19.so         [.] 0x000000000007fd6e                        
     0.04%  server   server               [.] 0x000000000000e75e                        
     0.04%  server   [kernel.kallsyms]    [k] __kfree_skb                               
     0.04%  server   libc-2.19.so         [.] 0x000000000010813f                        
     0.04%  server   libc-2.19.so         [.] 0x000000000007fd78                        
     0.04%  server   [kernel.kallsyms]    [k] iput                                      
